akira,bigmath,bubble_pop,countingx,picmatch,spelling,story_questions,story_reading,word_copy
,,20.096,,,2.763,,0.566,11.261
,,20.098,,,2.765,,0.567,11.271
,,20.247,,,2.767,,0.568,11.278
,,20.343,,,2.786,,0.569,11.28
,,20.352,,,2.791,,0.57,11.283
,,20.387,,,2.794,,0.571,11.284
,,20.402,,,2.825,,0.572,11.287
,,20.406,,,2.827,,0.573,11.289
,,20.536,,,2.843,,0.574,11.29
,,20.583,,,2.846,,0.575,11.302
,,20.654,,,2.852,,0.576,11.309
,,20.75,,,2.854,,0.577,11.31
,,20.805,,,2.86,,0.578,11.313
,,20.898,,,2.869,,0.579,11.316
,,20.919,,,2.878,,0.58,11.318
,,21.018,,,2.885,,0.581,11.32
,,21.088,,,2.887,,0.582,11.323
,,21.393,,,2.89,,0.583,11.334
,,21.451,,,2.895,,0.584,11.344
,,21.476,,,2.898,,0.585,11.356
,,21.6,,,2.902,,0.586,11.368
,,21.652,,,2.905,,0.587,11.372
,,21.7,,,2.921,,0.588,11.373
,,21.947,,,2.929,,0.589,11.376
,,22.003,,,2.931,,0.59,11.38
,,22.548,,,2.938,,0.591,11.387
,,22.647,,,2.94,,0.592,11.388
,,22.735,,,2.955,,0.593,11.401
,,22.795,,,2.964,,0.594,11.402
,,22.801,,,2.997,,0.595,11.405
,,22.807,,,20.061,,0.596,11.416
,,22.883,,,20.127,,0.597,11.418
,,22.89,,,20.172,,0.598,11.429
,,22.98,,,20.411,,0.599,11.439
,,23.052,,,20.528,,0.6,11.45
,,23.084,,,20.77,,0.601,11.451
,,23.088,,,21.264,,0.602,11.452
,,23.141,,,22.268,,0.603,11.457
,,23.286,,,22.348,,0.604,11.466
,,23.345,,,22.837,,0.605,11.473
,,23.362,,,25.187,,0.606,11.481
,,23.388,,,25.819,,0.607,11.491
,,23.419,,,25.95,,0.608,11.494
,,23.551,,,26.7,,0.609,11.496
,,23.816,,,27.185,,0.61,11.506
,,23.864,,,28.178,,0.611,11.507
,,23.906,,,28.268,,0.612,11.511
,,24.011,,,28.891,,0.613,11.514
,,24.062,,,29.595,,0.614,11.515
,,24.109,,,3.005,,0.615,11.522
,,24.133,,,3.024,,0.616,11.528
,,24.198,,,3.03,,0.617,11.53
,,24.268,,,3.049,,0.618,11.545
,,24.397,,,3.055,,0.619,11.551
,,24.637,,,3.083,,0.62,11.553
,,24.694,,,3.092,,0.621,11.563
,,24.754,,,3.093,,0.622,11.567
,,24.759,,,3.1,,0.623,11.568
,,24.875,,,3.109,,0.624,11.572
,,24.98,,,3.125,,0.625,11.575
,,25.042,,,3.134,,0.626,11.578
,,25.136,,,3.14,,0.627,11.594
,,25.175,,,3.149,,0.628,11.604
,,25.422,,,3.152,,0.629,11.605
,,25.43,,,3.159,,0.63,11.612
,,25.557,,,3.161,,0.631,11.614
,,25.755,,,3.176,,0.632,11.615
,,25.938,,,3.178,,0.633,11.617
,,25.948,,,3.179,,0.634,11.622
,,25.977,,,3.185,,0.635,11.642
,,26.199,,,3.187,,0.636,11.657
,,26.215,,,3.188,,0.637,11.674
,,26.317,,,3.191,,0.638,11.675
,,26.739,,,3.193,,0.639,11.68
,,26.798,,,3.201,,0.64,11.686
,,26.843,,,3.211,,0.641,11.695
,,26.95,,,3.216,,0.642,11.702
,,26.96,,,3.223,,0.643,11.704
,,27.006,,,3.234,,0.644,11.709
,,27.08,,,3.296,,0.645,11.721
,,27.268,,,3.306,,0.646,11.723
,,27.397,,,3.328,,0.647,11.725
,,27.5,,,3.33,,0.648,11.729
,,27.707,,,3.353,,0.649,11.74
,,27.8,,,3.354,,0.65,11.741
,,27.987,,,3.361,,0.651,11.749
,,28.014,,,3.364,,0.652,11.754
,,28.028,,,3.376,,0.653,11.755
,,28.034,,,3.387,,0.654,11.759
,,28.198,,,3.406,,0.655,11.761
,,28.339,,,3.433,,0.656,11.768
,,28.504,,,3.466,,0.657,11.793
,,28.642,,,3.475,,0.658,11.794
,,28.654,,,3.484,,0.659,11.795
,,28.728,,,3.485,,0.66,11.796
,,28.922,,,3.506,,0.661,11.805
,,29.205,,,3.509,,0.662,11.807
,,29.222,,,3.527,,0.663,11.812
,,29.348,,,3.543,,0.664,11.817
,,29.422,,,3.549,,0.665,11.826
,,3.002,,,3.551,,0.666,11.828
,,3.009,,,3.578,,0.667,11.831
,,3.012,,,3.595,,0.668,11.839
,,3.013,,,3.608,,0.669,11.84
,,3.014,,,3.61,,0.67,11.843
,,3.019,,,3.619,,0.671,11.85
,,3.022,,,3.627,,0.672,11.851
,,3.027,,,3.629,,0.673,11.857
,,3.029,,,3.638,,0.674,11.872
,,3.031,,,3.644,,0.675,11.876
,,3.038,,,3.645,,0.676,11.879
,,3.042,,,3.654,,0.677,11.884
,,3.043,,,3.678,,0.678,11.888
,,3.048,,,3.679,,0.679,11.891
,,3.053,,,3.686,,0.68,11.899
,,3.058,,,3.687,,0.681,11.902
,,3.06,,,3.688,,0.682,11.907
,,3.063,,,3.704,,0.683,11.914
,,3.068,,,3.705,,0.684,11.916
,,3.069,,,3.721,,0.685,11.921
,,3.077,,,3.722,,0.686,11.926
,,3.078,,,3.729,,0.687,11.947
,,3.079,,,3.754,,0.688,11.963
,,3.082,,,3.756,,0.689,11.968
,,3.083,,,3.758,,0.69,11.985
,,3.086,,,3.762,,0.691,11.987
,,3.088,,,3.764,,0.692,119.893
,,3.093,,,3.772,,0.693,12.005
,,3.094,,,3.785,,0.694,12.009
,,3.096,,,3.789,,0.695,12.022
,,3.097,,,3.795,,0.696,12.039
,,3.099,,,3.796,,0.697,12.049
,,3.1,,,3.797,,0.698,12.075
,,3.101,,,3.799,,0.699,12.08
,,3.102,,,3.803,,0.7,12.084
,,3.105,,,3.808,,0.701,12.096
,,3.106,,,3.823,,0.702,12.104
,,3.107,,,3.829,,0.703,12.105
,,3.108,,,3.833,,0.704,12.106
,,3.109,,,3.835,,0.705,12.118
,,3.11,,,3.84,,0.706,12.121
,,3.113,,,3.857,,0.707,12.143
,,3.115,,,3.864,,0.708,12.144
,,3.117,,,3.881,,0.709,12.145
,,3.118,,,3.908,,0.71,12.15
,,3.119,,,3.922,,0.711,12.151
,,3.12,,,3.924,,0.712,12.153
,,3.122,,,3.937,,0.713,12.163
,,3.126,,,3.96,,0.714,12.165
,,3.127,,,3.975,,0.715,12.169
,,3.131,,,3.982,,0.716,12.176
,,3.133,,,3.985,,0.717,12.18
,,3.136,,,30.123,,0.718,12.196
,,3.137,,,30.208,,0.719,12.199
,,3.138,,,32.709,,0.72,12.202
,,3.142,,,32.816,,0.721,12.211
,,3.143,,,36.415,,0.722,12.212
,,3.144,,,39.609,,0.723,12.213
,,3.145,,,4.01,,0.724,12.223
,,3.15,,,4.019,,0.725,12.234
,,3.152,,,4.031,,0.726,12.25
,,3.153,,,4.036,,0.727,12.26
,,3.154,,,4.044,,0.728,12.261
,,3.157,,,4.051,,0.729,12.262
,,3.161,,,4.063,,0.73,12.266
,,3.162,,,4.087,,0.731,12.283
,,3.163,,,4.088,,0.732,12.287
,,3.164,,,4.123,,0.733,12.317
,,3.165,,,4.137,,0.734,12.318
,,3.167,,,4.146,,0.735,12.324
,,3.168,,,4.151,,0.736,12.328
,,3.169,,,4.175,,0.737,12.336
,,3.173,,,4.186,,0.738,12.347
,,3.174,,,4.196,,0.739,12.353
,,3.175,,,4.202,,0.74,12.364
,,3.176,,,4.205,,0.741,12.369
,,3.177,,,4.231,,0.742,12.378
,,3.178,,,4.247,,0.743,12.391
,,3.179,,,4.261,,0.744,12.405
,,3.181,,,4.273,,0.745,12.412
,,3.183,,,4.291,,0.746,12.414
,,3.185,,,4.292,,0.747,12.421
,,3.186,,,4.318,,0.748,12.432
,,3.188,,,4.333,,0.749,12.436
,,3.189,,,4.342,,0.75,12.452
,,3.19,,,4.352,,0.751,12.457
,,3.192,,,4.353,,0.752,12.458
,,3.193,,,4.369,,0.753,12.465
,,3.194,,,4.374,,0.754,12.478
,,3.195,,,4.385,,0.755,12.492
,,3.196,,,4.396,,0.756,12.493
,,3.197,,,4.397,,0.757,12.516
,,3.198,,,4.403,,0.758,12.543
,,3.199,,,4.409,,0.759,12.546
,,3.2,,,4.427,,0.76,12.556
,,3.202,,,4.437,,0.761,12.56
,,3.204,,,4.443,,0.762,12.563
,,3.206,,,4.445,,0.763,12.585
,,3.207,,,4.45,,0.764,12.59
,,3.209,,,4.454,,0.765,12.599
,,3.21,,,4.486,,0.766,12.604
,,3.211,,,4.537,,0.767,12.607
,,3.213,,,4.545,,0.768,12.625
,,3.214,,,4.55,,0.769,12.634
,,3.215,,,4.557,,0.77,12.639
,,3.216,,,4.563,,0.771,12.644
,,3.218,,,4.567,,0.772,12.645
,,3.219,,,4.589,,0.773,12.657
,,3.22,,,4.605,,0.774,12.661
,,3.223,,,4.616,,0.775,12.668
,,3.224,,,4.623,,0.776,12.677
,,3.225,,,4.624,,0.777,12.679
,,3.226,,,4.642,,0.778,12.686
,,3.228,,,4.651,,0.779,12.688
,,3.229,,,4.675,,0.78,12.698
,,3.231,,,4.692,,0.781,12.699
,,3.232,,,4.697,,0.782,12.709
,,3.234,,,4.709,,0.783,12.711
,,3.235,,,4.716,,0.784,12.715
,,3.236,,,4.718,,0.785,12.729
,,3.237,,,4.732,,0.786,12.736
,,3.239,,,4.742,,0.787,12.749
,,3.24,,,4.749,,0.788,12.75
,,3.242,,,4.754,,0.789,12.76
,,3.244,,,4.787,,0.79,12.764
,,3.245,,,4.81,,0.791,12.78
,,3.246,,,4.838,,0.792,12.783
,,3.248,,,4.839,,0.793,12.789
,,3.249,,,4.842,,0.794,12.791
,,3.251,,,4.849,,0.795,12.793
,,3.252,,,4.857,,0.796,12.798
,,3.253,,,4.863,,0.797,12.805
,,3.254,,,4.873,,0.798,12.817
,,3.255,,,4.883,,0.799,12.818
,,3.256,,,4.888,,0.8,12.825
,,3.258,,,4.903,,0.801,12.837
,,3.26,,,4.928,,0.802,12.844
,,3.261,,,4.929,,0.803,12.849
,,3.262,,,4.944,,0.804,12.852
,,3.263,,,4.974,,0.805,12.876
,,3.264,,,4.976,,0.806,12.883
,,3.265,,,4.98,,0.807,12.884
,,3.267,,,44.948,,0.808,12.89
,,3.268,,,47.663,,0.809,12.897
,,3.269,,,5.007,,0.81,12.898
,,3.27,,,5.008,,0.811,12.929
,,3.271,,,5.01,,0.812,12.934
,,3.273,,,5.015,,0.813,12.937
,,3.274,,,5.026,,0.814,12.941
,,3.275,,,5.052,,0.815,12.953
,,3.276,,,5.098,,0.816,12.954
,,3.279,,,5.101,,0.817,12.97
,,3.28,,,5.14,,0.818,12.976
,,3.282,,,5.165,,0.819,12.986
,,3.283,,,5.176,,0.82,12.989
,,3.284,,,5.179,,0.821,12.999
,,3.287,,,5.182,,0.822,122.813
,,3.288,,,5.183,,0.823,127.49
,,3.289,,,5.204,,0.824,129.938
,,3.291,,,5.205,,0.825,13
,,3.293,,,5.22,,0.826,13.002
,,3.298,,,5.237,,0.827,13.007
,,3.301,,,5.246,,0.828,13.013
,,3.302,,,5.287,,0.829,13.021
,,3.308,,,5.289,,0.83,13.036
,,3.31,,,5.324,,0.831,13.037
,,3.311,,,5.333,,0.832,13.041
,,3.312,,,5.337,,0.833,13.051
,,3.313,,,5.347,,0.834,13.056
,,3.315,,,5.361,,0.835,13.068
,,3.317,,,5.384,,0.836,13.074
,,3.318,,,5.392,,0.837,13.08
,,3.32,,,5.398,,0.838,13.083
,,3.324,,,5.401,,0.839,13.085
,,3.325,,,5.409,,0.84,13.087
,,3.326,,,5.441,,0.841,13.093
,,3.327,,,5.449,,0.842,13.103
,,3.328,,,5.502,,0.843,13.111
,,3.33,,,5.507,,0.844,13.143
,,3.331,,,5.527,,0.845,13.153
,,3.332,,,5.534,,0.846,13.155
,,3.334,,,5.556,,0.847,13.159
,,3.335,,,5.561,,0.848,13.174
,,3.336,,,5.564,,0.849,13.187
,,3.338,,,5.629,,0.85,13.191
,,3.339,,,5.643,,0.851,13.194
,,3.34,,,5.654,,0.852,13.204
,,3.344,,,5.655,,0.853,13.221
,,3.346,,,5.676,,0.854,13.227
,,3.347,,,5.716,,0.855,13.233
,,3.348,,,5.718,,0.856,13.24
,,3.349,,,5.721,,0.857,13.246
,,3.35,,,5.733,,0.858,13.249
,,3.351,,,5.748,,0.859,13.257
,,3.352,,,5.75,,0.86,13.282
,,3.353,,,5.782,,0.861,13.283
,,3.354,,,5.786,,0.862,13.286
,,3.355,,,5.793,,0.863,13.29
,,3.356,,,5.814,,0.864,13.294
,,3.36,,,5.833,,0.865,13.299
,,3.362,,,5.85,,0.866,13.305
,,3.366,,,5.851,,0.867,13.306
,,3.367,,,5.869,,0.868,13.31
,,3.368,,,5.872,,0.869,13.312
,,3.369,,,5.876,,0.87,13.322
,,3.372,,,5.882,,0.871,13.33
,,3.373,,,5.908,,0.872,13.333
,,3.374,,,5.926,,0.873,13.339
,,3.377,,,5.929,,0.874,13.349
,,3.379,,,5.93,,0.875,13.353
,,3.38,,,5.931,,0.876,13.354
,,3.381,,,5.957,,0.877,13.359
,,3.382,,,5.958,,0.878,13.37
,,3.383,,,5.974,,0.879,13.415
,,3.384,,,5.99,,0.88,13.423
,,3.387,,,5.998,,0.881,13.424
,,3.389,,,51.043,,0.882,13.431
,,3.39,,,57.964,,0.883,13.46
,,3.391,,,6.007,,0.884,13.47
,,3.392,,,6.027,,0.885,13.482
,,3.393,,,6.054,,0.886,13.497
,,3.394,,,6.055,,0.887,13.505
,,3.395,,,6.056,,0.888,13.523
,,3.396,,,6.063,,0.889,13.525
,,3.397,,,6.064,,0.89,13.556
,,3.398,,,6.071,,0.891,13.559
,,3.399,,,6.08,,0.892,13.589
,,3.4,,,6.081,,0.893,13.59
,,3.401,,,6.082,,0.894,13.595
,,3.403,,,6.085,,0.895,13.605
,,3.404,,,6.089,,0.896,13.606
,,3.405,,,6.097,,0.897,13.611
,,3.406,,,6.114,,0.898,13.627
,,3.407,,,6.115,,0.899,13.635
,,3.409,,,6.121,,0.9,13.636
,,3.41,,,6.123,,0.901,13.649
,,3.414,,,6.13,,0.902,13.651
,,3.416,,,6.133,,0.903,13.662
,,3.417,,,6.136,,0.904,13.667
,,3.418,,,6.138,,0.905,13.668
,,3.422,,,6.139,,0.906,13.684
,,3.423,,,6.144,,0.907,13.69
,,3.424,,,6.145,,0.908,13.698
,,3.425,,,6.155,,0.909,13.717
,,3.427,,,6.162,,0.91,13.722
,,3.431,,,6.163,,0.911,13.726
,,3.432,,,6.169,,0.912,13.748
,,3.433,,,6.173,,0.913,13.756
,,3.435,,,6.178,,0.914,13.762
,,3.436,,,6.182,,0.915,13.768
,,3.437,,,6.183,,0.916,13.774
,,3.439,,,6.185,,0.917,13.777
,,3.44,,,6.19,,0.918,13.783
,,3.441,,,6.196,,0.919,13.784
,,3.442,,,6.203,,0.92,13.792
,,3.443,,,6.208,,0.921,13.794
,,3.444,,,6.214,,0.922,13.8
,,3.446,,,6.215,,0.923,13.811
,,3.447,,,6.221,,0.924,13.817
,,3.448,,,6.224,,0.925,13.841
,,3.449,,,6.225,,0.926,13.847
,,3.45,,,6.232,,0.927,13.848
,,3.451,,,6.233,,0.928,13.85
,,3.452,,,6.237,,0.929,13.853
,,3.453,,,6.239,,0.93,13.854
,,3.454,,,6.24,,0.931,13.856
,,3.455,,,6.241,,0.932,13.866
,,3.456,,,6.242,,0.933,13.87
,,3.458,,,6.244,,0.934,13.88
,,3.46,,,6.247,,0.935,13.899
,,3.461,,,6.25,,0.936,13.927
,,3.462,,,6.257,,0.937,13.933
,,3.463,,,6.267,,0.938,13.937
,,3.465,,,6.268,,0.939,13.951
,,3.467,,,6.276,,0.94,13.957
,,3.469,,,6.289,,0.941,13.958
,,3.47,,,6.295,,0.942,13.994
,,3.472,,,6.297,,0.943,13.995
,,3.473,,,6.299,,0.944,137.615
,,3.474,,,6.3,,0.945,14.005
,,3.475,,,6.305,,0.946,14.037
,,3.477,,,6.308,,0.947,14.047
,,3.478,,,6.309,,0.948,14.057
,,3.479,,,6.314,,0.949,14.067
,,3.48,,,6.317,,0.95,14.07
,,3.482,,,6.325,,0.951,14.092
,,3.483,,,6.327,,0.952,14.101
,,3.485,,,6.328,,0.953,14.11
,,3.486,,,6.329,,0.954,14.117
,,3.487,,,6.336,,0.955,14.137
,,3.488,,,6.344,,0.956,14.19
,,3.489,,,6.345,,0.957,14.192
,,3.492,,,6.37,,0.958,14.193
,,3.494,,,6.386,,0.959,14.2
,,3.495,,,6.395,,0.96,14.224
,,3.496,,,6.396,,0.961,14.235
,,3.497,,,6.397,,0.962,14.236
,,3.499,,,6.412,,0.963,14.248
,,3.5,,,6.415,,0.964,14.253
,,3.502,,,6.429,,0.965,14.254
,,3.503,,,6.43,,0.966,14.262
,,3.505,,,6.432,,0.967,14.264
,,3.506,,,6.437,,0.968,14.268
,,3.507,,,6.438,,0.969,14.271
,,3.508,,,6.445,,0.97,14.272
,,3.509,,,6.449,,0.971,14.288
,,3.51,,,6.455,,0.972,14.29
,,3.511,,,6.456,,0.973,14.293
,,3.513,,,6.469,,0.974,14.295
,,3.514,,,6.471,,0.975,14.298
,,3.519,,,6.472,,0.976,14.326
,,3.521,,,6.478,,0.977,14.334
,,3.524,,,6.484,,0.978,14.357
,,3.525,,,6.487,,0.979,14.367
,,3.526,,,6.49,,0.98,14.369
,,3.527,,,6.501,,0.981,14.373
,,3.528,,,6.506,,0.982,14.391
,,3.529,,,6.515,,0.983,14.409
,,3.531,,,6.52,,0.984,14.413
,,3.533,,,6.567,,0.985,14.419
,,3.534,,,6.572,,0.986,14.422
,,3.535,,,6.584,,0.987,14.432
,,3.537,,,6.589,,0.988,14.446
,,3.538,,,6.592,,0.989,14.46
,,3.539,,,6.594,,0.99,14.464
,,3.54,,,6.598,,0.991,14.473
,,3.541,,,6.6,,0.992,14.476
,,3.543,,,6.607,,0.993,14.486
,,3.545,,,6.614,,0.994,14.516
,,3.546,,,6.625,,0.995,14.521
,,3.547,,,6.63,,0.996,14.528
,,3.548,,,6.632,,0.997,14.531
,,3.549,,,6.633,,0.998,14.547
,,3.551,,,6.656,,0.999,14.548
,,3.552,,,6.666,,1,14.574
,,3.553,,,6.687,,1.001,14.612
,,3.554,,,6.702,,1.002,14.643
,,3.555,,,6.71,,1.003,14.673
,,3.558,,,6.719,,1.004,14.68
,,3.559,,,6.728,,1.005,14.681
,,3.56,,,6.731,,1.006,14.712
,,3.561,,,6.774,,1.007,14.715
,,3.562,,,6.798,,1.008,14.729
,,3.563,,,6.811,,1.009,14.74
,,3.564,,,6.822,,1.01,14.742
,,3.565,,,6.829,,1.011,14.744
,,3.566,,,6.834,,1.012,14.751
,,3.568,,,6.838,,1.013,14.771
,,3.57,,,6.842,,1.014,14.776
,,3.572,,,6.863,,1.015,14.79
,,3.573,,,6.87,,1.016,14.798
,,3.574,,,6.888,,1.017,14.815
,,3.576,,,6.897,,1.018,14.816
,,3.578,,,6.908,,1.019,14.833
,,3.58,,,6.92,,1.02,14.837
,,3.581,,,6.953,,1.021,14.839
,,3.582,,,6.96,,1.022,14.84
,,3.584,,,6.975,,1.023,14.852
,,3.585,,,6.984,,1.024,14.878
,,3.586,,,6.987,,1.025,14.88
,,3.587,,,6.991,,1.026,14.89
,,3.588,,,6.992,,1.027,14.892
,,3.589,,,7.002,,1.028,14.916
,,3.591,,,7.008,,1.029,14.935
,,3.593,,,7.009,,1.03,14.937
,,3.594,,,7.01,,1.031,14.96
,,3.595,,,7.02,,1.032,14.966
,,3.597,,,7.026,,1.033,14.969
,,3.599,,,7.052,,1.034,14.984
,,3.6,,,7.053,,1.035,14.998
,,3.601,,,7.062,,1.036,15.024
,,3.603,,,7.071,,1.037,15.035
,,3.606,,,7.08,,1.038,15.055
,,3.608,,,7.113,,1.039,15.065
,,3.61,,,7.121,,1.04,15.07
,,3.613,,,7.137,,1.041,15.102
,,3.614,,,7.175,,1.042,15.138
,,3.615,,,7.178,,1.043,15.163
,,3.616,,,7.183,,1.044,15.189
,,3.617,,,7.184,,1.045,15.203
,,3.618,,,7.197,,1.046,15.209
,,3.619,,,7.215,,1.047,15.229
,,3.62,,,7.247,,1.048,15.257
,,3.622,,,7.26,,1.049,15.281
,,3.623,,,7.273,,1.05,15.283
,,3.624,,,7.332,,1.051,15.289
,,3.626,,,7.366,,1.052,15.293
,,3.627,,,7.395,,1.053,15.313
,,3.628,,,7.4,,1.054,15.33
,,3.63,,,7.412,,1.055,15.334
,,3.631,,,7.469,,1.056,15.344
,,3.633,,,7.494,,1.057,15.345
,,3.634,,,7.504,,1.058,15.358
,,3.635,,,7.56,,1.059,15.383
,,3.636,,,7.562,,1.06,15.396
,,3.638,,,7.604,,1.061,15.401
,,3.639,,,7.611,,1.062,15.405
,,3.642,,,7.66,,1.063,15.416
,,3.644,,,7.69,,1.064,15.42
,,3.645,,,7.692,,1.065,15.428
,,3.647,,,7.697,,1.066,15.436
,,3.648,,,7.704,,1.067,15.454
,,3.649,,,7.706,,1.068,15.463
,,3.65,,,7.712,,1.069,15.476
,,3.651,,,7.727,,1.07,15.532
,,3.652,,,7.734,,1.071,15.552
,,3.653,,,7.737,,1.072,15.56
,,3.654,,,7.746,,1.073,15.57
,,3.655,,,7.764,,1.074,15.595
,,3.656,,,7.77,,1.075,15.596
,,3.657,,,7.784,,1.076,15.601
,,3.658,,,7.789,,1.077,15.617
,,3.659,,,7.82,,1.078,15.625
,,3.66,,,7.833,,1.079,15.63
,,3.661,,,7.841,,1.08,15.637
,,3.662,,,7.878,,1.081,15.661
,,3.664,,,7.904,,1.082,15.672
,,3.665,,,7.918,,1.083,15.695
,,3.666,,,7.972,,1.084,15.696
,,3.667,,,8.015,,1.085,15.701
,,3.668,,,8.097,,1.086,15.708
,,3.669,,,8.128,,1.087,15.718
,,3.671,,,8.161,,1.088,15.725
,,3.676,,,8.168,,1.089,15.732
,,3.677,,,8.26,,1.09,15.744
,,3.678,,,8.268,,1.091,15.75
,,3.68,,,8.276,,1.092,15.799
,,3.681,,,8.286,,1.093,15.807
,,3.682,,,8.373,,1.094,15.809
,,3.685,,,8.431,,1.095,15.819
,,3.686,,,8.457,,1.096,15.849
,,3.688,,,8.493,,1.097,15.853
,,3.689,,,8.5,,1.098,15.875
,,3.692,,,8.508,,1.099,15.889
,,3.693,,,8.562,,1.1,15.904
,,3.694,,,8.566,,1.101,15.915
,,3.695,,,8.569,,1.102,15.918
,,3.696,,,8.601,,1.103,15.93
,,3.697,,,8.619,,1.104,15.96
,,3.698,,,8.654,,1.105,15.965
,,3.699,,,8.712,,1.106,15.971
,,3.7,,,8.729,,1.107,15.997
,,3.701,,,8.818,,1.108,15.998
,,3.702,,,8.873,,1.109,15.999
,,3.703,,,8.898,,1.11,16.012
,,3.704,,,8.915,,1.111,16.025
,,3.705,,,8.929,,1.112,16.042
,,3.708,,,8.942,,1.113,16.078
,,3.709,,,88.826,,1.114,16.085
,,3.71,,,9.006,,1.115,16.092
,,3.712,,,9.088,,1.116,16.093
,,3.713,,,9.212,,1.117,16.109
,,3.714,,,9.299,,1.118,16.121
,,3.716,,,9.307,,1.119,16.167
,,3.719,,,9.326,,1.12,16.175
,,3.72,,,9.328,,1.121,16.196
,,3.721,,,9.396,,1.122,16.221
,,3.722,,,9.429,,1.123,16.228
,,3.723,,,9.437,,1.124,16.231
,,3.724,,,9.452,,1.125,16.239
,,3.726,,,9.496,,1.126,16.246
,,3.727,,,9.546,,1.127,16.293
,,3.728,,,9.558,,1.128,16.297
,,3.729,,,9.778,,1.129,16.298
,,3.73,,,9.836,,1.13,16.326
,,3.732,,,9.868,,1.131,16.347
,,3.733,,,9.954,,1.132,16.377
,,3.734,,,9.96,,1.133,16.383
,,3.735,,,,,1.134,16.391
,,3.736,,,,,1.135,16.42
,,3.738,,,,,1.136,16.437
,,3.739,,,,,1.137,16.438
,,3.742,,,,,1.138,16.447
,,3.743,,,,,1.139,16.452
,,3.744,,,,,1.14,16.46
,,3.745,,,,,1.141,16.461
,,3.748,,,,,1.142,16.466
,,3.749,,,,,1.143,16.481
,,3.751,,,,,1.144,16.485
,,3.753,,,,,1.145,16.489
,,3.754,,,,,1.146,16.501
,,3.755,,,,,1.147,16.504
,,3.756,,,,,1.148,16.525
,,3.758,,,,,1.149,16.542
,,3.759,,,,,1.15,16.547
,,3.76,,,,,1.151,16.578
,,3.762,,,,,1.152,16.615
,,3.764,,,,,1.153,16.619
,,3.765,,,,,1.154,16.623
,,3.768,,,,,1.155,16.651
,,3.769,,,,,1.156,16.659
,,3.77,,,,,1.157,16.662
,,3.773,,,,,1.158,16.672
,,3.774,,,,,1.159,16.689
,,3.775,,,,,1.16,16.739
,,3.776,,,,,1.161,16.77
,,3.777,,,,,1.162,16.776
,,3.778,,,,,1.163,16.799
,,3.779,,,,,1.164,16.801
,,3.781,,,,,1.165,16.803
,,3.783,,,,,1.166,16.812
,,3.784,,,,,1.167,16.813
,,3.785,,,,,1.168,16.821
,,3.788,,,,,1.169,16.833
,,3.79,,,,,1.17,16.838
,,3.792,,,,,1.171,16.848
,,3.793,,,,,1.172,16.851
,,3.796,,,,,1.173,16.862
,,3.797,,,,,1.174,16.879
,,3.798,,,,,1.175,16.891
,,3.8,,,,,1.176,16.935
,,3.801,,,,,1.177,16.938
,,3.802,,,,,1.178,16.945
,,3.804,,,,,1.179,16.976
,,3.807,,,,,1.18,16.98
,,3.808,,,,,1.181,16.988
,,3.809,,,,,1.182,17.01
,,3.81,,,,,1.183,17.03
,,3.814,,,,,1.184,17.033
,,3.815,,,,,1.185,17.043
,,3.816,,,,,1.186,17.045
,,3.817,,,,,1.187,17.05
,,3.82,,,,,1.188,17.061
,,3.822,,,,,1.189,17.065
,,3.824,,,,,1.19,17.122
,,3.826,,,,,1.191,17.148
,,3.827,,,,,1.192,17.166
,,3.828,,,,,1.193,17.172
,,3.831,,,,,1.194,17.195
,,3.832,,,,,1.195,17.209
,,3.833,,,,,1.196,17.23
,,3.835,,,,,1.197,17.233
,,3.836,,,,,1.198,17.259
,,3.838,,,,,1.199,17.281
,,3.841,,,,,1.2,17.287
,,3.843,,,,,1.201,17.327
,,3.844,,,,,1.202,17.346
,,3.847,,,,,1.203,17.377
,,3.848,,,,,1.204,17.385
,,3.849,,,,,1.205,17.393
,,3.85,,,,,1.206,17.414
,,3.851,,,,,1.207,17.422
,,3.854,,,,,1.208,17.429
,,3.856,,,,,1.209,17.482
,,3.857,,,,,1.21,17.488
,,3.858,,,,,1.211,17.511
,,3.86,,,,,1.212,17.52
,,3.861,,,,,1.213,17.522
,,3.862,,,,,1.214,17.546
,,3.863,,,,,1.215,17.613
,,3.864,,,,,1.216,17.629
,,3.865,,,,,1.217,17.641
,,3.867,,,,,1.218,17.653
,,3.868,,,,,1.219,17.658
,,3.87,,,,,1.22,17.672
,,3.871,,,,,1.221,17.724
,,3.872,,,,,1.222,17.737
,,3.873,,,,,1.223,17.74
,,3.875,,,,,1.224,17.794
,,3.876,,,,,1.225,17.813
,,3.877,,,,,1.226,17.815
,,3.88,,,,,1.227,17.819
,,3.881,,,,,1.228,17.824
,,3.883,,,,,1.229,17.84
,,3.884,,,,,1.23,17.85
,,3.887,,,,,1.231,17.861
,,3.892,,,,,1.232,17.869
,,3.894,,,,,1.233,17.909
,,3.898,,,,,1.234,17.93
,,3.9,,,,,1.235,17.935
,,3.901,,,,,1.236,18.003
,,3.902,,,,,1.237,18.028
,,3.905,,,,,1.238,18.041
,,3.907,,,,,1.239,18.051
,,3.909,,,,,1.24,18.07
,,3.91,,,,,1.241,18.081
,,3.911,,,,,1.242,18.093
,,3.912,,,,,1.243,18.099
,,3.915,,,,,1.244,18.156
,,3.917,,,,,1.245,18.194
