akira,bigmath,bubble_pop,countingx,picmatch,spelling,story_questions,story_reading,word_copy
6.622,20.315,10.914,,,0.473,38.779,0.113,1.404
6.623,20.475,10.93,,,0.474,39.68,0.114,1.409
6.624,21.279,10.933,,,0.483,39.731,0.115,1.413
6.625,21.648,10.939,,,0.489,39.983,0.116,1.415
6.626,21.874,10.942,,,0.491,4.008,0.117,1.417
6.627,22.778,10.949,,,0.496,4.034,0.118,1.419
6.628,23.891,10.958,,,0.5,4.055,0.119,1.42
6.629,24.181,10.959,,,0.501,4.133,0.12,1.422
6.63,24.55,10.986,,,0.503,4.158,0.121,1.424
6.631,25.023,10.998,,,0.508,4.23,0.122,1.428
6.632,26.241,11.007,,,0.519,4.28,0.123,1.43
6.633,27.983,11.011,,,0.52,4.374,0.124,1.431
6.634,28.778,11.015,,,0.525,4.809,0.125,1.432
6.635,3.176,11.017,,,0.527,4.96,0.126,1.433
6.636,3.291,11.021,,,0.534,4.973,0.127,1.435
6.637,3.33,11.029,,,0.535,41.052,0.128,1.44
6.638,3.35,11.033,,,0.536,42.958,0.129,1.442
6.639,3.431,11.059,,,0.538,44.476,0.13,1.443
6.64,3.432,11.078,,,0.544,44.55,0.132,1.446
6.641,3.434,11.081,,,0.545,46.313,0.133,1.448
6.642,3.472,11.094,,,0.546,46.699,0.134,1.453
6.643,3.508,11.098,,,0.551,46.791,0.135,1.454
6.644,3.612,11.101,,,0.552,47.195,0.136,1.455
6.645,3.615,11.108,,,0.553,47.198,0.137,1.456
6.646,3.625,11.119,,,0.561,47.717,0.138,1.458
6.647,3.712,11.125,,,0.569,48.164,0.139,1.459
6.648,3.722,11.13,,,0.576,48.29,0.14,1.462
6.649,3.781,11.137,,,0.578,48.74,0.141,1.464
6.65,3.816,11.143,,,0.579,48.927,0.142,1.465
6.651,3.828,11.153,,,0.585,49.246,0.143,1.47
6.652,3.829,11.159,,,0.586,5.106,0.144,1.473
6.653,3.901,11.168,,,0.604,5.457,0.145,1.474
6.654,3.987,11.175,,,0.622,5.64,0.146,1.475
6.655,302.037,11.177,,,0.63,5.788,0.149,1.48
6.656,31.729,11.184,,,0.637,52.075,0.15,1.481
6.657,33.518,11.213,,,0.638,54.346,0.151,1.482
6.658,36.697,11.233,,,0.645,56.001,0.152,1.483
6.659,4.05,11.237,,,0.653,56.526,0.153,1.485
6.66,4.064,11.24,,,0.654,56.767,0.154,1.486
6.661,4.104,11.248,,,0.656,59.307,0.155,1.488
6.662,4.114,11.249,,,0.664,6.263,0.156,1.491
6.664,4.149,11.25,,,0.67,6.555,0.157,1.496
6.665,4.162,11.257,,,0.672,6.722,0.158,1.498
6.666,4.214,11.258,,,0.681,6.868,0.159,1.499
6.667,4.327,11.259,,,0.698,60.32,0.16,1.502
6.668,4.33,11.267,,,0.704,61.43,0.161,1.503
6.669,4.354,11.287,,,0.707,66.097,0.162,1.505
6.67,4.436,11.315,,,0.714,66.849,0.163,1.506
6.671,4.572,11.317,,,0.732,66.974,0.164,1.512
6.672,4.599,11.324,,,0.733,67.19,0.165,1.518
6.673,4.656,11.325,,,0.741,67.697,0.166,1.519
6.674,4.664,11.331,,,0.746,68.421,0.167,1.522
6.675,4.72,11.341,,,0.747,69.473,0.168,1.524
6.676,4.756,11.349,,,0.748,69.993,0.169,1.525
6.677,4.82,11.354,,,0.749,7.669,0.17,1.526
6.678,4.835,11.375,,,0.759,7.854,0.171,1.528
6.679,4.838,11.376,,,0.764,70.078,0.172,1.53
6.681,4.853,11.379,,,0.765,74.189,0.173,1.531
6.682,4.897,11.385,,,0.771,74.452,0.174,1.534
6.683,40.759,11.386,,,0.775,75.086,0.175,1.535
6.684,5.014,11.397,,,0.78,76.616,0.176,1.538
6.685,5.045,11.405,,,0.783,77.998,0.177,1.539
6.688,5.058,11.409,,,0.784,78.927,0.178,1.544
6.689,5.069,11.413,,,0.79,8.728,0.179,1.545
6.69,5.137,11.425,,,0.797,80.854,0.18,1.547
6.691,5.158,11.43,,,0.799,85.443,0.181,1.549
6.692,5.246,11.478,,,0.8,9.22,0.182,1.551
6.696,5.292,11.48,,,0.806,91.821,0.183,1.554
6.697,5.326,11.482,,,0.809,92.446,0.184,1.556
6.698,5.35,11.483,,,0.812,92.646,0.185,1.557
6.7,5.45,11.485,,,0.816,93.323,0.186,1.558
6.701,5.477,11.495,,,0.817,99.83,0.187,1.569
6.702,5.615,11.501,,,0.826,,0.188,1.57
6.709,5.644,11.504,,,0.834,,0.189,1.571
6.71,5.819,11.509,,,0.842,,0.19,1.573
6.711,5.847,11.523,,,0.85,,0.191,1.576
6.714,5.907,11.573,,,0.852,,0.192,1.581
6.719,6.012,11.596,,,0.857,,0.193,1.583
6.72,6.035,11.608,,,0.859,,0.194,1.585
6.729,6.118,11.609,,,0.862,,0.195,1.589
6.738,6.16,11.612,,,0.876,,0.196,1.595
6.751,6.195,11.616,,,0.877,,0.197,1.599
6.754,6.225,11.624,,,0.893,,0.198,1.6
6.847,6.291,11.636,,,0.902,,0.199,1.602
7.04,6.458,11.639,,,0.903,,0.2,1.604
7.046,6.509,11.655,,,0.912,,0.201,1.607
7.17,6.519,11.667,,,0.915,,0.202,1.611
7.309,6.528,11.678,,,0.918,,0.203,1.612
7.325,6.538,11.684,,,0.925,,0.204,1.615
7.413,6.546,11.688,,,0.935,,0.205,1.616
7.42,6.62,11.722,,,0.945,,0.206,1.619
7.422,6.682,11.738,,,0.951,,0.207,1.62
7.433,6.778,11.742,,,0.953,,0.208,1.621
7.434,6.851,11.743,,,0.96,,0.209,1.625
7.436,6.937,11.744,,,0.961,,0.21,1.626
7.437,6.983,11.753,,,0.968,,0.211,1.628
7.438,7.184,11.755,,,0.97,,0.212,1.63
7.442,7.187,11.756,,,0.971,,0.213,1.632
7.445,7.217,11.758,,,0.978,,0.214,1.634
7.447,7.322,11.77,,,0.979,,0.215,1.636
7.451,7.382,11.786,,,0.98,,0.216,1.641
7.452,7.433,11.808,,,0.981,,0.217,1.644
7.454,7.494,11.836,,,0.994,,0.218,1.648
7.455,7.513,11.84,,,0.995,,0.219,1.649
7.456,7.523,11.885,,,0.996,,0.22,1.651
7.457,7.877,11.895,,,1.004,,0.221,1.653
7.458,7.891,11.982,,,1.005,,0.222,1.656
7.461,7.958,11.994,,,1.019,,0.223,1.661
7.462,7.991,114.467,,,1.021,,0.224,1.663
7.463,7.995,117.031,,,1.022,,0.225,1.673
7.464,8.026,12.001,,,1.028,,0.226,1.677
7.466,8.144,12.002,,,1.029,,0.227,1.679
7.467,8.254,12.017,,,1.03,,0.228,1.682
7.468,8.288,12.018,,,1.031,,0.229,1.683
7.469,8.3,12.042,,,1.045,,0.23,1.687
7.472,8.315,12.045,,,1.046,,0.231,1.688
7.473,8.511,12.066,,,1.05,,0.232,1.689
7.474,8.565,12.072,,,1.054,,0.233,1.694
7.475,8.579,12.073,,,1.055,,0.234,1.697
7.477,8.597,12.076,,,1.063,,0.235,1.698
7.478,8.634,12.091,,,1.064,,0.236,1.7
7.479,8.675,12.127,,,1.072,,0.237,1.704
7.48,8.682,12.128,,,1.073,,0.238,1.709
7.482,8.727,12.138,,,1.08,,0.239,1.713
7.485,8.759,12.147,,,1.087,,0.24,1.718
7.486,8.908,12.151,,,1.095,,0.241,1.721
